# (J2000) Period(ms) DM(pc/cm3) P_b(days) R(mJy) EPTA InPTA NANOGrav PPTA CPTA MPTA LOFAR
J0023+0923 3.05 14.3 0.1 0.7 - - V - V - -
J0030+0451 4.87 4.3 – 1.1 V - V V V V V
J0034−0534 1.88 13.8 1.6 0.2 - - - - V - V
J0125−2327 3.68 9.6 – 2.5 - - - V - V -
J0154+1833 2.37 19.8 – 0.1 - - - - V - -
J0218+4232 2.32 61.3 2.0 0.9 - - - - V - V
J0340+4130 3.30 49.6 – 0.3 - - V - V - -
J0406+3039 2.61 49.4 7.0 – - - V - V - -
J0407+1607 25.70 35.6 669.1 0.4 - - - - - - V
J0437−4715 5.76 2.6 5.7 150.2 - V V V - V -
J0509+0856 4.06 38.3 4.9 1.5 - - V - V - -
J0557+1551 2.56 102.6 4.8 – - - V - - - -
J0605+3757 2.73 20.9 55.7 – - - V - V - -
J0610−2100 3.86 60.7 0.3 0.7 - - V - - V -
J0613−0200 3.06 38.8 1.2 2.3 V V V V V V -
J0614−3329 3.15 37.1 53.6 0.7 - - V V - V -
J0621+1002 28.85 36.6 8.3 1.7 - - - - V - V
J0636−3044 3.95 15.5 – 1.5 - - - - - V -
J0636+5128 2.87 11.1 0.1 1.0 - - V - V - -
J0645+5158 8.85 18.2 – 0.3 - - V - V - V
J0709+0458 34.43 44.3 4.4 0.3 - - V - - - -
J0711−6830 5.49 18.4 – 2.6 - - - V - V -
J0732+2314 4.09 44.7 30.2 0.7 - - - - V - -
J0740+6620 2.89 15.0 4.8 1.1 - - V - - - V
J0751+1807 3.48 30.2 0.3 1.4 V V - - V - V
J0824+0028 9.86 34.5 23.2 0.5 - - - - V - -
J0900−3144 11.11 75.7 18.7 3.8 V - - V - V -
J0931−1902 4.64 41.5 – 0.5 - - V - - V -
J0952−0607 1.41 22.4 0.3 – - - - - - - V
J0955−6150 2.00 160.9 24.6 0.6 - - - - - V -
J1012−4235 3.10 71.7 38.0 0.3 - - V - - V -
J1012+5307 5.26 9.0 0.6 3.8 V V V - V - V
J1017−7156 2.34 94.2 6.5 1.1 - - - V - V -
J1022+1001 16.45 10.3 7.8 3.9 V V V V - V V
J1024−0719 5.16 6.5 – 1.5 V - V V V V V
J1036−8317 3.41 27.1 0.3 0.5 - - - - - V -
J1045−4509 7.47 58.1 4.1 2.7 - - - V - V -
J1101−6424 5.11 207.4 9.6 0.3 - - - - - V -
J1103−5403 3.39 103.9 – 0.4 - - - - - V -
J1125−5825 3.10 124.8 76.4 1.0 - - - - - V -
J1125−6014 2.63 52.9 8.8 1.3 - - - V - V -
J1125+7819 4.20 12.0 15.4 1.1 - - V - - - V
J1216−6410 3.54 47.4 4.0 1.2 - - - - - V -
J1300+1240a 6.22 10.2 25.3 0.4 - - - - - - V
J1312+0051 4.23 15.3 38.5 0.2 - - V - - - -
J1327−0755 2.68 27.9 8.4 0.2 - - - - - V -
J1327+3423 41.51 4.2 – – - - - - V - -
J1400−1431 3.08 4.9 9.5 0.2 - - - - - - V
J1421−4409 6.39 54.6 30.7 1.3 - - - - - V -
J1431−5740 4.11 131.4 2.7 0.4 - - - - - V -
J1435−6100 9.35 113.8 1.4 0.3 - - - - - V -
J1446−4701 2.20 55.8 0.3 0.5 - - - V - V -
J1453+1902 5.79 14.1 – 0.2 - - V - V - -
J1455−3330 7.99 13.6 76.2 0.7 V - V - - V -
J1525−5545 11.36 127.0 1.0 0.4 - - - - - V -
J1543−5149 2.06 51.0 8.1 0.8 - - - - - V -
J1544+4937 2.16 23.2 0.1 – - - - - - - V
J1545−4550 3.58 68.4 6.2 1.1 - - - V - V -
J1547−5709 4.29 95.7 3.1 0.3 - - - - - V -
J1552+5437 2.43 22.9 – – - - - - - - V
J1600−3053 3.60 52.3 14.3 2.4 V V V V - V -
J1603−7202 14.84 38.0 6.3 2.5 - - - V - V -
